地名,数值,X,Y
东光驿,47,116.2581,37.68801
太湖,1681,116.26508,30.42006
太平驿,937,116.27579,37.15112
富庄驿,51,116.28512,38.01704
安德,936,116.28741,37.45164
东原驿,986,116.29917,35.91034
会同馆,20013,116.368,39.93143
桃源驿,932,116.42907,37.15773
新桥驿,990,116.48556,35.72985
青口驿,1571,116.5672,30.63035
刘普驿,957,116.65239,36.94536
潞河驿,102,116.65881,39.90592
东北置驿,956,116.72324,36.55283
宴城驿,962,116.78063,36.70108
昌平驿,9676,116.8237,35.5567
舒城驿,1641,116.93854,31.45645
吕亭驿,1603,116.93861,31.05228
邾城驿,989,116.96844,35.40382
睢阳驿,1589,116.9714,33.64237
谭城驿,20160,117.00149,36.65013
三河驿,113,117.07612,39.98279
滕阳驿,999,117.15816,35.08609
利国监驿,,117.18768,34.26963
金斗驿,1561,117.27646,31.86446
渔阳驿,94,117.40182,40.04387
王庄驿,,117.4586,33.09573
固镇驿,130516,117.31171,33.31458
红心驿,23064,117.64,32.9
定远,1672,117.67569,32.53025
阳樊驿,18,117.75478,39.88367
池河驿,,117.9405,32.51547
建溪驿,1690,118.10537,27.33988
义丰驿,19,118.1349,39.8276
剑浦驿,1714,118.16918,26.64217
大柳树驿,20264,118.30416,32.31699
城西驿,1687,118.32378,27.03886
江东驿,1797,118.6176,32.06487
黄田驿,,118.6751,26.42891
七家岭驿,16005,118.46919,39.8664
江宁驿,1793,118.76899,32.05256
滦河驿,,118.862,39.877
上航驿,1817,118.86765,28.95682
白沙驿,,119.0703,26.21404
亭步驿,1816,119.17238,29.03479
芦峰口驿,126,119.23016,39.88467
三山驿,1673,119.32158,26.07395
扬州府,9634,119.43719,32.39127
京口驿,1799,119.44429,32.20649
濲水驿,1831,119.47885,29.20445
富春驿,1853,119.49886,29.54448
云阳驿,1800,119.56985,31.9958
桐江驿,1855,119.66494,29.80246
会江驿,1751,119.94775,30.05343
毗陵驿,1780,119.9523,31.78278
吴山驿,,119.9829,30.31535
武林驿,1748,120.16862,30.29412
锡山驿,1778,120.29767,31.57461
皂林驿,1746,120.41874,30.53045
姑苏驿,20297,120.61862,31.31271
平望驿,,120.6766,30.98778
西水驿,1742,120.7532,30.76747
在城驿,,123.41988,41.78825
白水司,22468,104.01198,25.65715
河口,22699,103.95923,22.51872
蒙自,1615,103.39257,23.36995
马塘,22630,104.06075,23.49957
开化,9766,104.23555,23.37613
马白关,22627,104.39596,23.02148
阿迷州,1614,103.23381,23.71491
竹园,22535,103.41074,24.11117
弥勒,1604,103.4332,24.40936
赵卡,,103.68333,24.83333
陆良,1571,103.66253,25.03227
婆兮,,103.09805,24.22305
禄丰,,103.11528,24.5725
宜良,,103.14197,24.91107
东川,9749,103.29464,26.42056
宣威,1551,104.10641,26.21884
昆阳,1599,102.59974,24.67329
新兴,1601,102.53732,24.35551
河西,1591,102.63928,24.14174
通海,1595,102.75561,24.10607
石屏,1613,102.48826,23.71902
元江,9764,102.00642,23.60401
他郎,1611,101.694,23.43914
宁洱,9767,101.03599,23.0706
临安,9765,102.82231,23.62455
磨黑,22588,101.16931,23.1616
石膏,,101.08334,23
普洱,,100.98333,22.8
安宁,1594,102.47412,24.91844
禄丰,1566,102.0801,25.1474
禄丰,1560,101.75339,25.17142
楚雄,9754,101.54286,25.03307
