地名,数值,X,Y
小谿驿,,104.7724,32.28007
古城驿,,104.63376,32.38552
武平驿,,104.59977,32.41689
水进驿,,104.22058,32.49864
小河驿,,104.1534,32.59697
三舍驿,,103.89972,32.79005
建宁驿,,104.87599,31.07729
古店驿,,104.49978,30.99873
太平驿,,103.49946,31.14637
镇平驿,,103.7698,32.23402
来达驿,,103.681,32.04318
长宁驿,,103.78058,31.78489
归化驿,,103.62669,32.56798
木马驿,,104.06667,30.5
百丈驿,,103.25,30.18333
谿龙驿,,102.18289,28.13118
禄马驿,,102.2076,27.72061
罗东驿,,104.43333,28.63333
泥溪驿,,104.16131,28.65673
曼彝司,,103.91584,28.7492
通邮驿,,105.35044,28.58093
江门驿,,105.32832,28.45998
永安驿,,105.37023,28.38428
赤水驿,,105.58027,27.72927
摩泥驿,,105.58334,27.85
普市驿,,105.56741,27.93434
永安驿,,105.46938,28.06464
毕节驿,,105.284,27.30808
周尼驿,,104.82889,27.31111
赫章驿,,104.72208,27.12747
瓦甸驿,,104.50623,27.03904
在城驿,,104.28983,26.86027
乌撒驿,,104.23333,26.76667
普德归驿,,103.88333,26.53333
南津驿,,104.69256,30.03549
白沙镇驿,,106.13114,29.05812
牛脑驿,,105.89594,28.9206
立市驿,,105.95289,29.04802
江津驿,,106.25296,29.28151
匡庐驿,,116.04112,29.45349
吴城驿,,115.99441,29.17683
樵舍驿,,115.97885,28.85415
市汊驿,,115.83669,28.41129
剑江驿,,115.78578,28.19775
分宜,,114.67572,27.81605
安仁驿,,114.81561,27.70849
罗溪驿,,114.93114,27.80408
秀江驿,,114.37589,27.79427
袁州府,,114.42476,27.84432
白沙驿,,115.0939,27.32752
皂口驿,,114.90591,26.32242
攸镇驿,,114.9055,26.12981
小溪驿,,114.55,25.48333
武阳驿,,116.00349,28.52697
孔家渡驿,,116.35501,27.97994
旰江驿,,116.62745,27.55972
杉关驿,,117.11884,27.68365
杭川驿,,117.33325,27.53952
樵川驿,,117.4834,27.33769
拏口驿,,117.64282,27.14667
王台驿,,117.9653,26.63753
双峰驿,,117.806,26.79672
富屯驿,,117.77144,26.93263
茶洋驿,,118.40935,26.51427
水口驿,,118.76129,26.35918
大田驿,,119.33667,25.87361
福清,,119.38144,25.72792
宏路驿,,119.32034,25.70618
蒜岭驿,,119.23333,25.53333
莆阳驿,,119.0111,25.43395
锦田驿,,118.80282,25.02208
枫亭驿,,118.84442,25.24142
晋安驿,,118.58991,24.90964
康店驿,,118.41775,24.74671
大轮驿,,118.1445,24.7367
深青驿,,117.96396,24.59382
江东驿,,117.89989,24.52445
丹霞驿,,117.65305,24.51174
甘棠驿,,117.67427,24.26871
临漳驿,,117.6107,24.11708
云霄驿,,117.32831,23.95955
南诏驿,,117.17467,23.70476
南靖,,117.50569,24.57299
平南驿,,117.29586,24.77877
适中驿,,117.11513,24.88144
大横驿,,118.25579,26.76865
太平驿,,118.29058,26.91059
叶坊驿,,118.2,27.21667
兴田驿,,118.06627,27.50351
长平驿,,118.02678,27.75603
大安驿,,117.89383,27.87027
车盘驿,,117.8,28
鹅湖驿,,117.77659,28.20845
葛阳驿,,117.96505,28.44792
怀玉驿,,118.24018,28.6796
常山驿,,118.50266,28.90373
草平驿,,118.34402,28.81248
双溪驿,,119.64992,29.10471
丹峰驿,,120.05844,28.64839
华溪驿,,120.02525,28.89727
括苍驿,,119.91301,28.44873
芝田驿,,120.28816,28.14388
象浦驿,,120.65322,28.01829
窑奥岭驿,,120.95769,28.13068
西皋驿,,121.10145,28.26831
馆头驿,,121.14601,28.41246
岭店驿,,121.25639,28.50194
黄岩,,121.25835,28.64261
赤城驿,,121.1206,28.84313
朱家奥驿,,121.27705,29.0649
桑州驿,,121.31554,29.16095
白峤驿,,121.32806,29.26528
宁海,,121.41666,29.3
连山驿,,121.40691,29.65166
四明驿,,121.54294,29.86476
车厩驿,,121.4442,29.9792
姚江驿,,121.15276,30.04907
东关驿,,120.97359,29.95265
蓬莱驿,,120.57826,30.00452
西兴驿,,120.22258,30.198
灵山驿,,116.59406,23.26095
武宁驿,,116.50467,23.07859
惠来,,116.28851,23.03913
北山驿,,116.15902,22.99653
大陂驿,,115.76659,22.95196
平安驿,,115.20752,22.8946
平政驿,,114.89738,22.84036
平山驿,,114.71667,22.98333
义合驿,,114.86657,23.83987
铁冈驿,,114.08814,23.06669
黄家山驿,,113.8526,23.11049
苏州驿,,114.17503,23.08547
东州驿,,113.54062,23.09425
旅顺口驿,,121.25556,38.80872
木场驿,,121.43474,38.98242
金州驿,,121.70105,39.09895
石河驿,,121.86667,39.33333
孛兰驿,,121.95647,39.39003
怀化驿,18785,110.11226,27.6201
山塘驿,,110.23333,27.9
江口驿,,110.3,28.35
辰阳驿,,110.39209,28.44055
茅冈司,,110.1853,29.2369
临江驿,,112.85,29.53333
城陵矶驿,,113.13136,29.43305
栾古驿,,121.87013,39.51234
复州驿,,121.7116,39.73374
五十寨驿,,121.98333,40.05
熊岳驿,,122.12763,40.17737
盖州驿,,122.33334,40.4
耀州驿,,122.525,40.61336
在城驿,,122.74804,40.86553
鞍山驿,,122.94241,41.07394
辽东都司,,123.16798,41.26585
虎皮驿,,123.35186,41.51085
蒲河所,,123.58289,41.94787
懿路驿,,123.64958,42.09927
器州驿,,123.84785,42.29551
中固城,,123.99208,42.44029
安乐州,,124.07674,42.60439
威远堡,,124.27509,42.66938
牛庄驿,,122.52367,40.94553
西宁堡,,122.36667,41.01667
沙岭驿,,122.36706,41.14558
盘山驿,,122.00507,41.47808
西平驿,,122.33701,41.2467
板桥驿,,121.7866,41.59517
牵马岭驿,,121.5639,41.55171
义州驿,,121.24303,41.53939
闾阳驿,,121.665,41.37917
十三山驿,,121.50592,41.26259
杏山驿,,121.07874,40.9465
小凌河驿,,121.25663,41.09718
广宁中左所,,121.40003,41.19193
广宁中前所,,119.95204,40.09101
高岭驿,,120.00385,40.14628
背阴障堡,,120.1,40.2
沙河驿,,120.25,40.28333
广宁中后所,,120.35,40.35
东关驿,,120.43804,40.36014
宁远中左所,,120.99159,40.8959
连山驿,,120.9012,40.76723
曹庄驿,,120.57098,40.47993
宁远中右所,,120.5,40.43333
宁远卫,,120.70331,40.61703
通道,722,109.38816,25.21785
