name
云南府
临安府
大理府
永昌府
丽江府
澄江府
楚雄府
景东厅
蒙化厅
曲靖府
永北厅
东川府
武定州
元江州
昭通府
开化府
广西州
普洱府
顺宁府
镇雄州
广南府
镇沅厅
镇边厅
