ID,vol,author,add1,x,y,,
187,,蘇子珍,眉山,103.83146,30.0505,,
188,,王麟,那縣,108.09,35.04,,
192,,董楷,天台,121.02656,29.13826,,
194,,宋景祁,高平,112.91959,35.79206,,
199,,李簡,信都,115.56381,37.56598,,
201,,陶澤,諸暨,120.22766,29.71314,,
202,,柴世榮,吳縣,120.61862,31.31271,,
204,,茅志宣,滕縣,117.15701,35.08502,,
205,,張謙,濟南,117,36.65,,
206,,韋昇,金壇,119.57062,31.74698,,
208,,陳祐,寧晉,114.9154,37.62109,,
209,,釋至輦,趙州,114.77218,37.75293,,
212,,王構,平定,113.62227,37.80204,,
213,,汪復,婺源,117.84459,29.24473,,
214,,宰沂,洛陽,112.38263,34.66528,,
215,,江靁,婺源,117.84459,29.24473,,
218,,郭侃,鄭縣,109.75989,34.51963,,
219,,李思衍,餘干,116.682,28.69155,,
220,,王奕,玉山,118.24018,28.6796,,
222,,楊文郁,濟陽,117.21024,36.97194,,
223,,釋祥邁,興平,108.4826,34.29872,,
224,,滕安上,安喜,114.97504,38.52006,,
225,,徐琰,東平,125.52363,42.66988,,
226,,丁易東,武陵,111.6913,29.03481,,
227,,王埜翁,婺源,117.84459,29.24473,,
228,,方鳳,浦江,119.88368,29.45871,,
229,,鄭思肖,連江,119.53447,26.19802,,
230,,蕭（奭斗）,奉先,109.58512,34.95594,,
231,,林棟,莆田,119.0111,25.43395,,
232,,燕公楠,建昌,115.76182,29.08783,,
233,,湯炳龍,丹陽,119.56986,31.9958,,
234,,釋文才,清水,106.13658,34.7463,,
237,,盧摯,涿郡,115.98,39.48,,
238,,林景熙,平陽,120.55644,27.67572,,
240,,程龍,婺源,117.84459,29.24473,,
241,,葉李,杭州,120.16862,30.29412,,
242,,梁棟,鎮江,119.44,32.2,,
243,,王鼎,蔚州,114.56905,39.84054,,
244,,鄭滁孫,處州,119.91301,28.44873,,
246,,尹固毅,咸陽,108.70995,34.33905,,
248,,孔濂,衢州,118.86765,28.95682,,
249,,梅時舉,永嘉,120.65322,28.01829,,
250,,尹准一,姑蘇,120.62,31.32,,
252,,孔章,定襄,112.94377,38.49269,,
253,,曹漢炎,慈溪,121.4442,29.9792,,
254,,孔任氏,曲阜,116.98606,35.59755,,
256,,徐天祐,山陰,112.94273,39.44044,,
258,,董師謙,三山,119.3,26.08,,
261,,高凝,河内,112.92,35.08,,
263,,黎立武,新喻,114.93114,27.80408,,
