ID,add2,add,number,x,y,所属,,
533,明州,明州,1,121.54266,29.86632,浙江,,
535,秣陵,秣陵,1,118.78,32.04,江蘇,,
536,牟平,牟平,1,121.58773,37.37655,山東,,
537,睦州,睦州,1,119.49886,29.54448,浙江,,
538,那县,那縣,1,108.09,35.04,陝西,,
540,南昌,南昌,1,115.89,28.68,江西,,
541,南充,南充,1,106.08073,30.79899,四川,,
542,南宫,南宫,1,115.413555,37.36615,河北,,
543,南海,南海,1,113.25607,23.13462,廣東,,
544,南和,南和,1,114.68731,36.99957,河北,,
545,南雄,南雄,1,114.33,25.14,廣東,,
546,南乐,南樂,1,115.19762,36.07747,河南,,
547,南郑,南鄭,1,107.03519,33.07648,陝西,,
548,内黄,内黄,1,114.88,35.95,河南,,
549,内江,内江,1,104.194851,30.832395,四川,,
550,彭衙,彭衙,1,109.6,35.18,陝西,,
551,毗陵,毗陵,1,120.2723,31.893562,江蘇,,
552,平棘,平棘,1,114.77218,37.75293,河北,,
553,平水,平水,1,111.22,35.62,山西,,
554,平州,平州,1,109.47186,25.66099,河北,,
555,莆阳,莆陽,1,119.008656,25.428794,福建,,
556,蒲圻,蒲圻,1,113.87461,29.70835,湖北,,
557,濮州,濮州,1,115.50356,35.67287,河南,,
558,浦城,浦城,1,118.53626,27.92469,福建,,
559,淇水,淇水,1,114.185724,35.906783,河南,,
560,齐东,齊東,1,117.62292,36.99135,山東,,
561,蕲春,蘄春,1,115.47425,30.30481,湖北,,
562,秦邮,秦郵,1,119.678287,32.773609,江蘇,,
563,秦州,秦州,1,105.71696,34.58547,甘肅,,
564,沁水,沁水,1,112.17013,35.6904,山西,,
565,青龙,青龍,1,121.1,31.15,上海,,
566,青神,青神,1,103.84511,29.83728,四川,,
567,青阳,青陽,1,117.86305,30.63664,安徽,,
568,清河,清河,1,115.62411,37.07303,河北,,
569,清化,清化,1,106.56029,32.03808,河南,,
570,清平,清平,1,116.07657,36.75478,山東,,
571,清水,清水,1,106.13658,34.7463,甘肅,,
572,清州,清州,1,116.82543,38.58071,河北,,
573,邱县,邱縣,1,115.15681,36.71392,河北,,
575,衢县,衢縣,1,118.88,28.97,浙江,,
576,曲阳,曲陽,1,114.6902,38.62145,河北,,
577,穰县,穰縣,1,112.08096,32.68483,河南,,
578,任丘,任丘,1,116.1002,38.7069,河北,,
579,任县,任縣,1,114.68074,37.12608,河北,,
580,容城,容城,1,115.86572,39.05165,河北,,
581,瑞阳,瑞陽,1,115.38,28.42,江西,,
582,润州,潤州,1,119.44429,32.20649,江蘇,,
583,萨迦,薩迦,1,88,28.87,西藏,,
584,沙县,沙縣,1,117.78179,26.39761,福建,,
586,山阳,山陽,1,119.14111,33.50279,河南,,
587,陕州,陝州,1,111.15139,34.7918,河南,,
588,商州,商州,1,109.93246,33.86989,陝西,,
589,上邦,上邦,1,105.69,34.6,甘肅,,
590,上都,上都,1,116.02,42.25,內蒙古,,
591,射洪,射洪,1,105.27602,30.98916,四川,,
592,莘县,莘縣,1,115.66508,36.23671,河北,,
593,深泽,深澤,1,115.19208,38.1849,河北,,
594,深州,深州,1,115.54887,38.01173,河北,,
595,沈丘,沈丘,1,115.14233,33.17888,河南,,
596,石泉,石泉,1,108.25346,33.04337,四川,,
597,寿昌,壽昌,1,119.21964,29.36959,浙江,,
598,寿邑,壽邑,1,115.989225,35.762069,山東,,
600,苏州,蘇州,1,120.61862,31.31271,江蘇,,
601,睢州,睢州,1,115.06597,34.4305,河南,,
602,随州,隨州,1,113.36982,31.71511,湖北,,
603,遂昌,遂昌,1,119.26347,28.58789,浙江,,
604,台州,台州,1,121.1206,28.84313,浙江,,
605,太平,太平,1,118.12315,30.29855,山西,,
606,唐山,唐山,1,114.69869,37.33981,河北,,
607,滕县,滕縣,1,117.15701,35.08502,山東,,
608,同安,同安,1,118.14412,24.73605,福建,,
610,桐江,桐江,1,119.64,29.8,浙江,,
611,桐庐,桐廬,1,119.66494,29.80246,浙江,,
612,铜陵,銅陵,1,117.7875,30.95385,安徽,,
616,屯留,屯留,1,112.88245,36.32195,山西,,
617,宛平,宛平,1,116.368,39.93143,北京,,
618,潍阳,濰陽,1,119.390713,43.984132,山東,,
619,蔚州,蔚州,1,114.56905,39.84054,河北,,
620,卫辉,衛輝,1,114.05,35.44,河南,,
621,温州,温州,1,120.65,28.01,浙江,,
622,文昌,文昌,1,110.7559,19.62095,海南,,
623,文登,文登,1,122.05669,37.19306,山東,,
624,汶川,汶川,1,103.57815,31.47779,四川,,
625,吴城,吳城,1,120.592599,31.301341,江蘇,,
626,吴陵,吳陵,1,119.894562,32.41765,江蘇,,
627,无极,無極,1,114.96936,38.17673,河北,,
628,武安,武安,1,114.19186,36.69758,河北,,
629,武当山,武當山,1,111.10292,32.511267,湖北,,
630,武进,武進,1,119.9523,31.78278,江蘇,,
631,武连,武連,1,105.28281,31.89395,四川,,
633,武阳,武陽,1,108.91045,24.95324,甘肅,,
634,西安,西安,1,118.88,28.97,浙江,,
635,西和,西和,1,105.29073,34.01193,甘肅,,
636,西华,西華,1,114.52444,33.79306,河南,,
637,锡山,錫山,1,120.29,31.59,江蘇,,
638,合县,郃縣,1,116,36.95,山東,,
639,下蔡,下蔡,1,116.72009,32.70558,安徽,,
640,下邳,下邳,1,117.88688,34.11826,江蘇,,
641,咸阳,咸陽,1,108.70995,34.33905,陝西,,
642,相台,相臺,1,118.914762,42.267574,河南,,
643,相州,相州,1,114.3548,36.0976,河南,,
644,香山,香山,1,113.3736,22.52581,廣東,,
645,湘乡,湘鄉,1,112.51875,27.73725,湖南,,
646,湘阴,湘陰,1,112.8803,28.67621,湖南,,
647,襄垣,襄垣,1,113.04076,36.53459,山西,,
648,孝义,孝義,1,111.78277,37.14323,陝西,,
649,颉州,頡州,1,115.81,32.89,安徽,,
650,新淦,新淦,1,115.39381,27.75974,江西,,
651,新乐,新樂,1,114.7876,38.39504,河北,,
652,新郑,新鄭,1,113.71909,34.39732,河南,,
653,信安,信安,1,118.50266,28.90373,河北,,
654,信州,信州,1,117.96489,28.45069,江西,,
655,兴平,興平,1,108.4826,34.29872,河北,,
656,兴中,興中,1,120.42,41.58,遼寧,,
657,熊岳,熊岳,1,122.37,40.42,遼寧,,
658,修武,修武,1,113.43484,35.2312,河南,,
659,宿松,宿松,1,116.1142,30.15121,安徽,,
660,宿州,宿州,1,116.9714,33.64237,安徽,,
661,秀容,秀容,1,112.7312,38.39856,山西,,
662,须城,須城,1,116.29917,35.91034,山東,,
663,郇城,郇城,1,110.78,35.15,山西,,
664,浔阳,潯陽,1,115.98568,29.72236,江西,,
665,浚州,濬州,1,114.5443,35.66838,河北,,
666,雅安,雅安,1,102.98437,29.98556,四川,,
667,延安,延安,1,110.0152,36.47754,陝西,,
668,兖州,兖州,1,116.83,35.54,山東,,
669,剡源,剡源,1,120.89,29.49,浙江,,
670,厌次,厭次,1,117.64689,37.29529,山東,,
671,阳城,陽城,1,112.418,35.49059,山西,,
672,伊川,伊川,1,112.432026,34.43167,河南,,
673,猗氏,猗氏,1,110.77404,35.14794,山西,,
674,黟县,黟縣,1,117.93021,29.93312,安徽,,
675,沂水,沂水,1,118.62395,35.79103,山東,,
676,宜川,宜川,1,110.16488,36.04517,陝西,,
677,宜春,宜春,1,114.37588,27.79427,江西,,
678,宜州,宜州,1,108.65588,24.49073,廣西,,
679,益津,益津,1,116.405,39.1007,河北,,
680,益州,益州,1,104.078,30.65038,四川,,
681,翼城,翼城,1,111.70844,35.73876,山西,,
682,应城,應城,1,113.56968,30.946,湖北,,
683,邕州,邕州,1,108.31207,22.80614,廣西,,
684,永福,永福,1,118.9341,25.86762,福建,,
685,永济,永濟,1,110.33231,34.83513,山西,,
686,永平,永平,1,99.51934,25.46317,山東,,
687,永州,永州,1,111.61256,26.21034,湖南,,
688,甬东,甬東,1,122.11,30.03,浙江,,
689,甬上,甬上,1,121.56,29.86,浙江,,
690,攸州,攸州,1,113.34333,27.00403,湖南,,
691,榆次,榆次,1,112.74468,37.67847,山西,,
692,禹城,禹城,1,116.65119,36.94436,山東,,
693,禹县,禹縣,1,113.47,34.16,河南,,
694,玉田,玉田,1,117.75478,39.88367,河北,,
695,裕州,裕州,1,112.99251,33.26008,河南,,
696,元山,元山,1,0,0,江蘇,,
697,袁州,袁州,1,114.37588,27.79427,江西,,
698,圆沙,圆沙,1,0,0,廣東,,
699,岳州,岳州,1,113.09766,29.37126,湖南,,
700,乐乎,樂乎,1,117.12,28.97,江西,,
701,乐陵,樂陵,1,117.21653,37.73789,山東,,
702,乐清,樂清,1,120.95769,28.13068,浙江,,
703,云梦,雲夢,1,113.7464,31.02582,湖北,,
704,云南,雲南,1,100.55898,25.47909,雲南,,
705,云内,雲内,1,111.65,40.82,内蒙古,,
706,云阳,雲陽,1,108.8915,30.96685,陝西,,
707,赞皇,贊皇,1,114.37698,37.66266,河北,,
708,沼水,沼水,1,0,0,河北,,
709,震泽,震澤,1,120.63779,31.16706,江蘇,,
710,镇阳,鎮陽,1,113.37,38.01,河南,,
711,政和,政和,1,118.85319,27.3721,福建,,
712,治水,治水,1,115.08,36.97,河北,,
713,中牟,中牟,1,114.02625,34.73209,河南,,
714,中山,中山,1,114.56364,38.14011,河北,,
715,诸曁,諸曁,1,120.22766,29.71314,浙江,,
717,涿郡,涿郡,1,115.98,39.48,河北,,
718,涿州,涿州,1,115.96815,39.48722,河北,,
719,滋阳,滋陽,1,116.82253,35.55565,山東,,
720,资中,資中,1,104.6,30.19,四川,,
