ID,add2,add,number,x,y,所属,,
117,赵州,趙州,4,114.77218,37.75293,河北,,
118,镇江,鎮江,4,119.44,32.2,江蘇,,
119,渤海,渤海,3,118.1031,37.4769,山東,,
120,长安,長安,3,108.90698,34.24642,陝西,,
121,处州,處州,3,119.91301,28.44873,浙江,,
122,大梁,大梁,3,114.35,34.79,河南,,
123,丹阳,丹陽,3,119.56986,31.9958,江蘇,,
124,当涂,當塗,3,118.48344,31.55568,安徽,,
125,德兴,德興,3,117.58012,28.95341,江西,,
126,定兴,定興,3,115.77419,39.26959,河北,,
127,东原,東原,3,116.3,35.91,山東,,
128,汾阳,汾陽,3,111.77903,37.2634,山西,,
129,奉元,奉元,3,108.95,34.27,陝西,,
130,福宁,福寧,3,119.9904,26.88346,福建,,
131,高陵,高陵,3,109.08048,34.53332,陝西,,
132,高阳,高陽,3,115.7742,38.68891,河北,,
133,高邮,高郵,3,119.43733,32.79071,江蘇,,
134,藁城,藁城,3,114.84,38.03,河北,,
135,姑苏,姑蘇,3,120.62,31.32,江蘇,,
136,河间,河間,3,116.08553,38.4357,河北,,
137,洪洞,洪洞,3,111.68292,36.2594,山西,,
138,华亭,華亭,3,121.22764,31.00948,上海,,
139,济阳,濟陽,3,117.21024,36.97194,山東,,
140,济阴,濟陰,3,115.28286,34.99095,山東,,
141,建昌,建昌,3,115.76182,29.08783,江西,,
142,建阳,建陽,3,118.10537,27.33988,福建,,
143,金陵,金陵,3,118.78,32.04,江蘇,,
144,金坛,金壇,3,119.57062,31.74698,江蘇,,
145,句容,句容,3,119.16274,31.94654,江蘇,,
146,开化,開化,3,118.40488,29.14485,浙江,,
147,昆明,昆明,3,102.71035,25.04591,雲南,,
148,临江,臨江,3,132.51399,47.65361,江西,,
149,浏阳,瀏陽,3,113.62144,28.14957,湖南,,
150,庐山,廬山,3,115.990006,29.559712,江西,,
151,南城,南城,3,116.62745,27.55972,江西,,
152,南阳,南陽,3,112.53547,33.00168,河南,,
153,平定,平定,3,113.62227,37.80204,山西,,
154,饶州,饒州,3,116.66383,28.99417,江西,,
155,瑞安,瑞安,3,120.63069,27.79051,浙江,,
156,沙河,沙河,3,114.35181,36.88463,河北,,
157,上海,上海,3,121.48676,31.22443,上海,,
158,上元,上元,3,118.76899,32.05256,江蘇,,
159,邵武,邵武,3,117.4834,27.33769,福建,,
160,嵊县,嵊縣,3,120.81528,29.58749,浙江,,
161,寿阳,壽陽,3,113.16871,37.88678,山西,,
162,睢阳,睢陽,3,115.64607,34.44766,河南,,
163,汤阴,湯陰,3,114.35,35.92,河南,,
164,堂邑,堂邑,3,115.77485,36.48784,山東,,
165,潍县,潍縣,3,119.1,36.62,山東,,
166,潍州,潍州,3,119.1,36.62,山東,,
167,西河,西河,3,111.77903,37.2634,山西,,
168,仙居,仙居,3,120.73346,28.85221,浙江,,
169,象山,象山,3,121.86618,29.47443,浙江,,
170,新昌,新昌,3,120.90211,29.49465,江西,,
171,信都,信都,3,115.56381,37.56598,河北,,
172,兴宁,興寧,3,113.40067,25.96988,湖南,,
173,燕京,燕京,3,116.46,39.92,北京,,
174,宜黄,宜黄,3,116.2,27.55,江西,,
175,易州,易州,3,115.49348,39.34904,河北,,
176,永康,永康,3,120.02525,28.89727,浙江,,
177,永清,永清,3,116.49061,39.32571,河北,,
178,榆社,榆社,3,112.96366,37.07094,山西,,
179,乐安,樂安,3,118.40031,37.0498,江西,,
180,云中,雲中,3,113.29639,40.09284,山西,,
181,郓城,鄆城,3,115.93501,35.60506,山東,,
182,泽州,澤州,3,112.83916,35.50432,山西,,
183,章丘,章丘,3,117.4854,36.8169,山東,,
184,章邱,章邱,3,117.46158,36.75417,山東,,
185,镇阳,鎮陽,3,113.37,38.01,河南,,
186,邹平,鄒平,3,117.72535,36.8847,山東,,
187,安成,安成,2,114.62,27.39,江西,,
188,安平,安平,2,115.51058,38.23053,河北,,
189,巴川,巴川,2,106.21226,29.86247,四川,,
190,曹州,曹州,2,115.44413,35.25025,山東,,
191,昌乐,昌樂,2,118.83671,36.70358,山東,,
192,长平,長平,2,112.88,35.48,山西,,
193,长清,長清,2,116.72206,36.55182,山東,,
194,长山,長山,2,117.86491,36.88238,山東,,
195,长寿,長壽,2,112.58926,31.16983,内蒙古,,
196,长溪,長溪,2,119.9904,26.88346,福建,,
197,长兴,長興,2,119.90138,31.01389,浙江,,
198,常山,常山,2,118.50266,28.90373,浙江,,
199,慈利,慈利,2,111.12171,29.42634,湖南,,
200,大同,大同,2,113.29639,40.09284,山西,,
201,登封,登封,2,113.02462,34.45582,河南,,
202,东莱,東萊,2,119.93,37.18,山東,,
203,东明,東明,2,115.08884,35.29849,山東,,
204,都昌,都昌,2,116.18919,29.27256,江西,,
205,番禺,番禺,2,113.25607,23.13462,廣東,,
206,奉先,奉先,2,109.58512,34.95594,陝西,,
207,滏阳,滏陽,2,114.37424,36.35904,河北,,
208,富春,富春,2,119.95,30.07,浙江,,
209,富州,富州,2,105.8504,23.64806,江西,,
210,高安,高安,2,115.37228,28.4256,江西,,
211,高唐,高唐,2,116.231,36.86162,山東,,
212,光化,光化,2,111.62382,32.46271,湖北,,
213,归安,歸安,2,120.09931,30.86496,浙江,,
214,崞县,崞縣,2,112.75152,38.88332,山西,,
215,海昌,海昌,2,120.69,30.53,浙江,,
216,海陵,海陵,2,119.91124,32.49587,江蘇,,
217,海虞,海虞,2,120.74,31.64,江蘇,,
218,许州,許州,2,113.81975,34.03139,河南,,
219,会稽,會稽,2,120.57826,30.00452,浙江,,
220,浑源,渾源,2,113.6849,39.69634,山西,,
221,吉安,吉安,2,114.97,27.12,江西,,
222,集庆,集慶,2,118.78,32.04,江蘇,,
223,济宁,濟寧,2,116.59,35.38,山東,,
224,济源,濟源,2,112.58267,35.09244,河南,,
225,济州,濟州,2,116.598,36.39659,山東,,
226,嘉祥,嘉祥,2,116.34298,35.40069,山東,,
228,江夏,江夏,2,114.30666,30.57367,湖北,,
229,介休,介休,2,111.91216,37.02647,山西,,
230,金泉,金泉,2,104.009257,30.721921,四川,,
231,晋城,晉城,2,112.83916,35.50432,山西,,
232,晋陵,晉陵,2,119.9523,31.78278,江蘇,,
233,进贤,進賢,2,116.25907,28.36448,江西,,
234,缙云,縉雲,2,120.05844,28.64839,浙江,,
235,荆门,荆門,2,112.19,31.02,湖北,,
236,巨野,鉅野,2,116.08871,35.39621,山東,,
237,鄄城,鄄城,2,115.5,35.57,山東,,
238,浚仪,浚儀,2,114.34333,34.78548,河南,,
239,兰溪,蘭溪,2,119.47885,29.20445,浙江,,
240,醴陵,醴陵,2,113.4941,27.66852,湖南,,
241,临汾,臨汾,2,111.51543,36.07804,山西,,
242,临邛,臨邛,2,103.45682,30.41659,四川,,
243,临沂,臨沂,2,118.34095,35.07156,山東,,
244,临邑,臨邑,2,116.85932,37.19032,山東,,
245,隆安,隆安,2,107.68495,23.17817,廣西,,
246,陇西,隴西,2,104.6356,35.00714,甘肅,,
247,潞城,潞城,2,113.22115,36.33509,山西,,
248,滦州,灤州,2,118.75231,39.73965,河北,,
249,眉州,眉州,2,103.83146,30.0505,四川,,
250,蒙城,蒙城,2,116.55575,33.26864,安徽,,
251,闽县,閩縣,2,119.32158,26.07395,福建,,
252,宁国,寧國,2,118.97754,30.61997,安徽,,
253,宁晋,寧晉,2,114.9154,37.62109,河北,,
254,宁陵,寧陵,2,115.31537,34.44598,河南,,
255,宁乡,寧鄉,2,111.18812,37.3396,山西,,
256,沛县,沛縣,2,116.92695,34.738,江蘇,,
257,邳州,邳州,2,117.87732,34.11921,江蘇,,
258,平阴,平陰,2,116.44867,36.28693,山東,,
259,蒲阴,蒲陰,2,115.31509,38.41234,河北,,
260,濮阳,濮陽,2,115.07806,35.65017,河南,,
261,栖霞,棲霞,2,120.82707,37.30238,山東,,
262,祁州,祁州,2,115.31509,38.41234,河北,,
263,齐河,齊河,2,116.77944,36.70007,山東,,
264,青田,青田,2,120.28816,28.14388,浙江,,
265,清丰,清豐,2,115.11004,35.90877,河南,,
266,清源,清源,2,112.509,37.55718,山西,,
267,清苑,清苑,2,115.50209,38.8557,河北,,
268,曲沃,曲沃,2,111.47002,35.64129,山西,,
269,汝州,汝州,2,112.83702,34.16176,河南,,
270,瑞州,瑞州,2,115.37228,28.4256,江西,,
272,上高,上高,2,114.92675,28.24137,江西,,
273,深溪,深溪,2,115.990006,29.559712,江西,,
274,顺德,順德,2,113.25392,22.84786,廣東,,
275,顺圣,順聖,2,114.5913,40.2264,河北,,
276,松阳,松陽,2,119.48534,28.45075,浙江,,
277,遂安,遂安,2,118.7384,29.48077,浙江,,
278,太仓,太倉,2,121.1,31.45,江蘇,,
279,太谷,太谷,2,112.55276,37.42551,山西,,
280,泰安,泰安,2,117.12719,36.189,山東,,
281,泰宁,泰寧,2,117.15911,26.89848,福建,,
282,唐县,唐縣,2,114.96915,38.74149,河北,,
283,铁山,鐵山,2,131.192402,45.754294,湖北,,
285,潼川,潼川,2,105.06,31.1,四川,,
286,闻喜,聞喜,2,111.21721,35.35772,山西,,
287,吴门,吳門,2,120.62,31.32,江蘇,,
288,无锡,無錫,2,120.29767,31.57461,江蘇,,
289,武昌,武昌,2,114.87991,30.40272,湖北,,
290,武陵,武陵,2,111.6913,29.03481,湖南,,
291,武宁,武寧,2,115.09958,29.27749,江西,,
292,武乡,武鄉,2,112.91627,36.82682,山西,,
293,婺州,婺州,2,119.64992,29.10471,浙江,,
294,合阳,郃陽,2,110.15102,35.24258,陝西,,
295,襄城,襄城,2,113.47237,33.85369,河南,,
296,忻州,忻州,2,112.7312,38.39856,山西,,
297,盱江,盱江,2,116.325691,26.846371,江西,,
298,盐官,鹽官,2,120.5375,30.40628,浙江,,
300,燕山,燕山,2,116.46,39.92,北京,,
301,阳谷,陽穀,2,115.77429,36.11476,山東,,
302,耀州,耀州,2,108.97147,34.91327,陝西,,
303,宜兴,宜興,2,119.81438,31.36364,江蘇,,
304,弋阳,弋陽,2,117.42131,28.40188,江西,,
305,易县,易縣,2,115.49348,39.34904,河北,,
306,永年,永年,2,114.72307,36.70103,河北,,
307,鱼台,魚臺,2,116.46536,34.9368,山東,,
308,余杭,餘杭,2,119.9406,30.27177,浙江,,
309,玉山,玉山,2,118.24018,28.6796,江西,,
310,元城,元城,2,115.14652,36.27553,河北,,
311,郑县,鄭縣,2,109.75989,34.51963,陝西,,
312,淄川,淄川,2,117.96096,36.63599,山東,,
313,邹县,鄒縣,2,116.96727,35.40276,山東,,
314,檇李,檇李,2,120.76,30.77,浙江,,
315,安城,安城,1,116.69,39.52,河北,,
316,安丰,安豐,1,116.67452,32.33413,安徽,,
317,安睦,安睦,1,113.69,31.25,湖北,,
318,安肃,安肅,1,115.65739,39.01944,河北,,
319,安喜,安喜,1,114.97504,38.52006,河北,,
320,安新,安新,1,115.92,38.92,河北,,
321,巴陵,巴陵,1,113.09766,29.37126,湖南,,
322,白马,白馬,1,107.9,36,河南,,
323,白水,白水,1,109.58706,35.18162,陝西,,
325,般阳,般陽,1,117.987066,36.639564,山東,,
326,保宁,保寧,1,103.3161,31.511,四川,,
327,宝坻,寶坻,1,117.30242,39.7259,天津,,
328,北海,北海,1,119.1065,36.7027,山東,,
329,北京,北京,1,116.46,39.92,北京,,
330,北庭,北庭,1,89.14,44,新疆,,
331,北燕,北燕,1,117.987066,36.639564,河北,,
332,滨州,濱州,1,117.96531,37.47833,山東,,
333,并州,并州,1,112.53,37.87,山西,,
334,亳州,亳州,1,115.7709,33.87929,安徽,,
335,采石,采石,1,118.49,31.55,安徽,,
336,苍溪,蒼溪,1,105.93304,31.7431,四川,,
337,曹庄,曹莊,1,116.34,35.41,山東,,
338,昌江,昌江,1,113.70069,28.62296,江西,,
339,昌元,昌元,1,105.70798,29.43878,四川,,
340,长白,長白,1,128.17,41.43,山東,,
341,长汀,長汀,1,116.34954,25.83338,福建,,
342,长乐,長樂,1,119.51884,25.95984,福建,,
343,常宁,常寧,1,112.38709,26.40726,湖南,,
345,巢县,巢縣,1,117.86484,31.60174,安徽,,
346,朝城,朝城,1,115.5786,36.05568,山東,,
347,陈留,陳留,1,114.52453,34.6732,河南,,
348,成安,成安,1,114.69406,36.44135,河北,,
349,成都,成都,1,104.078,30.65038,四川,,
350,成州,成州,1,114.22922,39.43774,甘肅,,
351,城阳,城陽,1,118.843345,35.585107,山東,,
352,池阳,池陽,1,117.496969,30.670732,安徽,,
353,春谷,春谷,1,118.21,31.07,安徽,,
354,淳安,淳安,1,118.96516,29.61229,浙江,,
355,慈溪,慈溪,1,121.4442,29.9792,浙江,,
356,磁州,磁州,1,114.37425,36.35904,河北,,
357,代州,代州,1,112.94904,39.06039,山西,,
358,岱宗,岱宗,1,117.16677,36.204026,山東,,
359,单县,單縣,1,116.07925,34.7979,山東,,
360,当涂,當涂,1,118.49,31.55,安徽,,
361,当阳,當陽,1,111.78712,30.83151,湖北,,
362,砀山,碭山,1,116.34025,34.42788,江蘇,,
363,导江,導江,1,103.71374,31.00265,四川,,
364,德安,德安,1,115.74503,29.33056,湖北,,
365,登州,登州,1,112.08096,32.68483,山東,,
366,邓州,鄧州,1,112.08096,32.68483,河南,,
367,滇城,滇城,1,102.73,25.04,雲南,,
368,定海,定海,1,121.71172,29.9537,浙江,,
369,定远,定遠,1,117.67569,32.53025,安徽,,
370,东阿,東阿,1,116.25102,36.21138,山東,,
371,东安,東安,1,111.22209,26.332,河北,,
374,东营,東營,1,122.18,40.65,遼寧,,
375,都梁,都梁,1,110.61,26.73,湖南,,
376,恩县,恩縣,1,116.27579,37.15112,山東,,
377,恩州,恩州,1,111.95895,21.84542,山東,,
379,范阳,范陽,1,115.96815,39.48722,河北,,
